"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to validate that Sign-Up button is visible after clicking main button on homepage","8790","Verify Sign Up Button Visibility Test","AutomationTestSuite","Mon Jul 28 20:27:59 IST 2025","passed","Mon Jul 28 20:28:08 IST 2025","tests.SignUpButtonTest","UI Tests","tests.SignUpButtonTest","validateSignUpButtonVisibility"
"Test to validate that search input field is visible after navigating through iframe link to W3Schools","133948","Verify Search Input Field Visibility Test","AutomationTestSuite","Mon Jul 28 20:28:17 IST 2025","passed","Mon Jul 28 20:30:31 IST 2025","tests.SearchInputTest","UI Tests","tests.SearchInputTest","validateSearchInputVisibility"
